Guide,File Key,Current Alt Text,Image Generation Prompt,Aspect Ratio,Notes
1-Day Itinerary,1-day,"A man walking down a sunlit Oaxaca street lined with colonial buildings","A solo traveler walking down a narrow sunlit cobblestone street in Oaxaca de Juárez, Mexico. Colorful colonial buildings in terracotta, mustard yellow, and sage green line both sides. Morning golden hour light casts long shadows. Bougainvillea spills over a balcony. Shot from behind the walker, wide-angle, travel photography style.",16:9,Hero image — needs to feel like an exciting arrival
2-Day Itinerary,2-day,"Colorful paper streamers decorating a street light in Oaxaca","Vibrant papel picado (perforated paper banners) strung across a street in Oaxaca, Mexico. Purple, orange, pink, and green tissue paper flags flutter against a bright blue sky. Colonial facades visible below. Festive, joyful atmosphere. Shot looking upward, natural light, saturated colors.",16:9,Should feel festive and weekend-ready
3-Day Itinerary,3-day,"Red and white painted wall in the streets of Oaxaca de Juárez","A striking red and white painted colonial wall in Oaxaca de Juárez with a weathered wooden door. A potted cactus sits beside the entrance. Dappled afternoon sunlight. Textured stucco surface with slight patina. Minimalist street photography, warm tones.",16:9,Iconic Oaxaca street texture
4-Day Itinerary,4-day,"Panoramic view of Oaxaca City with mountains in the distance","Elevated panoramic view of Oaxaca City at golden hour. Terracotta rooftops and church domes spread across the valley. The Sierra Norte mountains rise in the background under a warm gradient sky. Green canopy of trees visible between buildings. Drone-style wide shot, cinematic travel photography.",16:9,Flagship itinerary — needs the most impressive hero
5-Day Itinerary,5-day,"Natural mineral formations at Hierve el Agua overlooking the Oaxaca Valley","The petrified waterfall rock formations at Hierve el Agua, Oaxaca. White and ochre mineral deposits cascade down a cliff edge. The vast green Oaxaca Valley stretches below under a partly cloudy sky. Infinity pool visible at the top. Dramatic landscape photography, wide angle.",16:9,Recommended itinerary — Hierve el Agua is the highlight
7-Day Itinerary,7-day,"Mountain range with clouds rolling over the peaks","Misty cloud forest in the Sierra Norte mountains of Oaxaca. Lush green pine and oak trees cover rolling peaks. Low clouds weave through the valleys. A narrow hiking trail is barely visible. Moody, atmospheric landscape photography with cool green tones.",16:9,Full immersion — should feel adventurous and remote
Where to Stay,where-to-stay,"A large colonial building with a clock tower in Oaxaca","A charming boutique hotel courtyard in Oaxaca's Centro Histórico. Arched stone corridors surround a central garden with tropical plants and a small fountain. Warm terracotta tiles on the floor. String lights draped above. Late afternoon light. Architectural interior photography.",16:9,Should evoke comfort and a sense of place
Street Food Guide,street-food,"Mexican street tacos with fresh ingredients on a wooden board","Close-up of a Oaxacan street food spread: tlayudas with black beans, quesillo cheese, and tasajo on a charcoal grill. Smoke rising. A hand squeezing lime. Small bowls of salsa roja and guacamole beside it. Night market lighting with warm bulbs. Food photography, shallow depth of field.",16:9,Must look authentic Oaxacan — not generic Mexican food
Monte Albán Day Trip,monte-alban,"Ancient stone structure under a bright blue sky","The Grand Plaza of Monte Albán archaeological site in Oaxaca. Ancient Zapotec stone pyramids and platforms on a flattened mountaintop. Dramatic blue sky with white clouds. Green grass between structures. A few visitors for scale. Wide-angle archaeological photography, bright daylight.",16:9,Should convey the scale and hilltop drama of Monte Albán
Budget Guide,budget,"A pile of silver Mexican peso coins","A flat-lay of Mexican pesos — both bills (200, 100, 50 peso notes) and coins scattered on a rustic wooden table. A small notebook and pen beside them. A cup of Oaxacan hot chocolate in the corner. Warm overhead lighting. Lifestyle photography, budget travel aesthetic.",16:9,Should feel practical and relatable
Getting Around,getting-around,"People walking on a sunny street under a clear blue sky","A colorful colectivo (shared taxi van) picking up passengers on a busy Oaxaca street. Pedestrians crossing. A tuk-tuk visible in the background. Colonial buildings in pastel colors. Midday light. Street-level documentary photography capturing the energy of local transport.",16:9,Should show real transport options in Oaxaca
Mercado Guide,mercado,"Bustling scene at an Oaxacan market with vendors and colorful goods","Interior of Mercado 20 de Noviembre in Oaxaca. Rows of food stalls with smoke rising from charcoal grills cooking tasajo and cecina. Vendors in aprons. Hanging dried chiles and strings of garlic overhead. Warm amber lighting from bare bulbs. Busy lunchtime crowd. Documentary food photography.",16:9,Must capture the smoky atmosphere of this specific market
Mezcal Guide,mezcal,"A bottle of artisanal mezcal sitting on a bed of gravel","A rustic mezcal tasting setup in a Oaxacan palenque (distillery). Three small clay copitas filled with mezcal on a wooden barrel. Agave piñas roasting in a pit visible in the background. Earthy, warm tones. A hand reaching for a copita. Artisanal craft photography.",16:9,Should feel artisanal and authentic — not commercial
Day Trips,day-trips,"Tall petrified rock formation against the sky near Hierve el Agua","A collage-style composition showing Oaxaca day trip highlights: the ancient columns of Mitla with geometric stone mosaics in the foreground, the massive Tule Tree trunk in the mid-ground, and Hierve el Agua's petrified falls in the background. Golden hour light. Epic landscape travel photography.",16:9,Needs to represent multiple destinations
Cultural Experiences,cultural,"Multicolored handwoven textiles displayed in an Oaxacan market","A Zapotec weaver working at a traditional wooden loom in Teotitlán del Valle, Oaxaca. Vibrant red, indigo, and gold yarn. Finished textiles with geometric diamond patterns hanging on the wall behind. Natural light from a doorway. Intimate artisan portrait photography.",16:9,Should highlight hands-on cultural immersion
Best Time to Visit,best-time,"Baroque church with twin towers and dome against a clear sky","The ornate baroque facade of Templo de Santo Domingo de Guzmán in Oaxaca, lit by warm golden hour sunlight. Intricate stone carvings and gilded details. Deep blue sky behind the twin bell towers. A few people on the plaza steps for scale. Architectural photography, dramatic lighting.",16:9,Iconic Oaxaca landmark for a planning-focused page
Safety Tips,safety,"A large colonial building with a dome in Oaxaca","A calm, well-lit pedestrian street in Oaxaca's Centro Histórico at dusk. Warm street lamps glowing. A few locals and tourists strolling. Shops with open doors. Safe, inviting atmosphere. Colonial buildings in soft evening light. Street photography, reassuring and peaceful mood.",16:9,Must feel safe and welcoming — not ominous
Nightlife Guide,nightlife,"Dimly lit bar interior with shelves of bottles and warm neon lighting","Interior of an intimate mezcalería in Oaxaca at night. Exposed brick walls, shelves lined with artisanal mezcal bottles. Warm amber Edison bulbs hanging from the ceiling. A bartender pouring mezcal into a jícara. Patrons seated at a wooden bar. Moody, atmospheric bar photography.",16:9,Should feel warm and inviting — Oaxaca nightlife is low-key
Photography Spots,photo-spots,"A white and blue church with a vivid blue roof in Oaxaca","The colorful Jalatlaco neighborhood in Oaxaca — a narrow street with buildings painted in vivid cobalt blue, coral, and lime green. Papel picado banners overhead. A photographer with a camera capturing the scene. Morning soft light with long shadows. Vibrant street photography.",16:9,Should make photographers excited to visit
